"provinsi","kota","kecamatan","kelurahan","id_tps","nomor_tps","diterima","rusak","tdk_digunakan","tdk_sah","no1","no2","no3","no4","no5","no6","no7","no8","no9","no10","no11","no12","no13","no14","no15","no16","no17","no18","no19","no20","saksi_pileg"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001001","001","261","0","21","17","8","14","92","1","25","1","5","21","4","6","29","11","0","4","","","","","1","1","supri"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001002","002","239","1","46","21","8","10","95","4","18","1","0","15","2","3","11","3","0","2","","","","","1","1","maryah"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001003","003","262","0","55","9","7","16","97","5","19","0","3","7","3","6","18","12","0","4","","","","","0","0","supriyo"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001004","004","265","0","42","18","3","10","105","5","2","0","7","20","8","4","25","13","0","3","","","","","0","0","SITA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001005","005","213","0","26","17","2","10","63","3","8","0","0","30","7","4","28","13","0","2","","","","","0","0","SARI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001006","006","237","0","33","18","2","11","91","1","4","2","2","32","1","3","12","20","0","3","","","","","2","0","subiyanto"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001007","007","245","0","45","19","4","14","92","2","7","0","4","11","9","1","7","37","1","2","","","","","0","0","NIMAS"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001008","008","235","0","31","12","3","10","124","8","5","0","3","8","4","4","3","19","0","1","","","","","0","0","panggih"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001009","009","215","0","21","17","4","7","100","3","3","2","0","13","5","7","4","25","1","2","","","","","1","0","rian"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001010","010","268","0","44","17","4","12","91","6","11","0","3","31","3","6","9","26","0","4","","","","","0","1","sony"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001011","011","237","0","35","8","11","14","59","5","6","0","5","37","2","5","20","28","0","1","","","","","1","0","NINO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001012","012","260","0","30","19","9","14","82","3","10","1","1","50","5","2","13","8","0","11","","","","","2","0","DINO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001013","013","225","1","24","10","5","35","103","6","1","0","1","12","6","0","4","14","1","2","","","","","0","0","walindo"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001014","014","282","1","45","17","4","14","101","7","13","0","3","3","1","2","29","10","0","3","","","","","2","0","wulan"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001015","015","223","0","56","4","8","7","81","12","9","0","3","12","6","5","11","6","0","3","","","","","0","0","tugiman"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001016","016","236","1","47","12","2","3","95","7","7","0","2","11","4","4","26","12","0","1","","","","","2","0","asrul"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001017","017","255","0","33","21","5","15","91","19","9","1","7","13","2","3","11","22","0","3","","","","","0","0","swilo"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001018","018","277","0","60","24","6","14","114","2","17","2","1","10","3","3","10","7","0","1","","","","","0","3","NIMAS"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001019","019","255","0","40","17","6","4","118","5","9","0","1","27","0","5","8","7","1","4","","","","","0","0","riko"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001020","020","198","0","20","10","9","10","56","3","12","1","5","25","0","3","15","18","1","7","","","","","3","0","purjiyo"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001021","021","211","1","45","10","9","6","63","3","3","0","4","17","1","4","8","30","1","5","","","","","1","0","eka"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001022","022","223","0","40","15","5","18","82","2","11","1","5","10","1","1","19","7","0","5","","","","","1","0","triyono"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001023","023","213","0","33","21","8","7","92","6","2","0","2","10","10","2","8","6","2","3","","","","","0","0","aris"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001024","024","194","0","34","9","1","9","73","4","34","1","0","5","11","0","2","10","0","1","","","","","0","0","ANA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001025","025","250","0","22","34","15","35","37","4","12","4","3","19","18","11","6","19","0","9","","","","","1","1","venci"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001026","026","208","1","15","17","2","69","57","2","11","0","0","11","11","4","0","6","0","2","","","","","0","0","sariyanto"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001027","027","228","0","34","28","7","15","44","5","6","1","1","18","30","2","9","23","0","4","","","","","1","0","RENDRA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001028","028","224","1","27","25","14","18","76","5","7","1","2","12","11","4","6","8","0","5","","","","","2","0","ANA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001029","029","261","1","40","23","0","32","80","11","23","0","1","14","11","4","4","13","0","3","","","","","1","0","SUKADI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001030","030","248","0","23","0","7","16","113","7","4","0","3","17","5","12","9","15","0","1","","","","","1","0","AGUS"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001031","031","226","1","32","27","6","5","85","14","5","0","5","15","9","4","8","8","0","1","","","","","0","1","SISI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001034","034","221","0","43","18","5","24","43","10","0","0","2","26","3","12","7","24","0","3","","","","","1","0","EKA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001035","035","262","0","25","25","5","23","101","14","11","0","1","11","5","10","7","18","0","5","","","","","0","1","KASMONO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001037","037","266","0","36","29","7","22","103","9","4","0","0","14","6","4","5","22","1","3","","","","","1","0","SUHARYONO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001038","038","277","0","49","49","0","44","64","13","10","1","2","16","1","7","4","15","2","2","","","","","0","0","WAHYU"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001040","040","292","0","22","31","6","9","113","26","10","0","5","16","11","4","10","27","1","1","","","","","0","0","YONO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KRICAK","3471011001041","041","300","0","43","26","16","8","110","10","10","0","2","14","27","5","6","19","1","2","","","","","0","1","YOGO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KARANGWARU","3471011002001","001","278","0","31","16","5","61","76","9","4","0","2","19","4","4","6","37","0","4","","","","","0","0","RISA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KARANGWARU","3471011002002","002","273","0","47","31","3","22","67","4","0","1","2","0","3","4","3","35","6","1","","","","","5","39","MARYONO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KARANGWARU","3471011002003","003","274","1","35","19","8","8","78","6","8","0","0","48","6","7","10","34","0","5","","","","","0","0","ANGGRAINI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KARANGWARU","3471011002004","004","242","2","27","21","9","5","90","7","7","2","3","37","1","2","3","22","0","2","","","","","2","1","SUGENG"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KARANGWARU","3471011002005","005","259","0","49","17","9","7","74","5","10","1","4","28","2","2","14","32","0","4","","","","","1","2","PARYADI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KARANGWARU","3471011002006","006","209","0","36","11","2","7","68","6","7","0","3","12","2","1","7","41","0","4","","","","","1","1","SANTOSO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KARANGWARU","3471011002007","007","217","0","24","11","2","5","72","3","9","0","5","24","4","3","4","32","1","6","","","","","1","0","ARKI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KARANGWARU","3471011002008","008","261","1","26","14","7","21","93","11","7","0","6","24","3","4","11","26","1","5","","","","","0","1","ADAM"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KARANGWARU","3471011002009","009","193","0","25","11","12","10","58","1","2","1","2","22","4","4","14","26","0","1","","","","","0","0","HERU"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KARANGWARU","3471011002010","010","257","0","25","28","15","16","51","23","23","0","6","6","4","6","18","29","0","6","","","","","0","1","YUNI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","TEGALREJO","KARANGWARU","3471011002011","011","261","0","44","18","8","16","74","9","6","1","1","35","0","9","12","27","0","1","","","","","1","0","Sarinah"
